,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
126,8.2000,1.3300,0.0000,1.7000,0.0810,3.0000,12.0000,0.9964,3.5300,0.4900,10.9000,5
127,8.1000,1.3300,0.0000,1.8000,0.0820,3.0000,12.0000,0.9964,3.5400,0.4800,10.9000,5
128,8.0000,0.5900,0.1600,1.8000,0.0650,3.0000,16.0000,0.9962,3.4200,0.9200,10.5000,7
129,6.1000,0.3800,0.1500,1.8000,0.0720,6.0000,19.0000,0.9955,3.4200,0.5700,9.4000,5
130,8.0000,0.7450,0.5600,2.0000,0.1180,30.0000,134.0000,0.9968,3.2400,0.6600,9.4000,5
131,5.6000,0.5000,0.0900,2.3000,0.0490,17.0000,99.0000,0.9937,3.6300,0.6300,13.0000,5
132,5.6000,0.5000,0.0900,2.3000,0.0490,17.0000,99.0000,0.9937,3.6300,0.6300,13.0000,5
133,6.6000,0.5000,0.0100,1.5000,0.0600,17.0000,26.0000,0.9952,3.4000,0.5800,9.8000,6
134,7.9000,1.0400,0.0500,2.2000,0.0840,13.0000,29.0000,0.9959,3.2200,0.5500,9.9000,6
135,8.4000,0.7450,0.1100,1.9000,0.0900,16.0000,63.0000,0.9965,3.1900,0.8200,9.6000,5
136,8.3000,0.7150,0.1500,1.8000,0.0890,10.0000,52.0000,0.9968,3.2300,0.7700,9.5000,5
137,7.2000,0.4150,0.3600,2.0000,0.0810,13.0000,45.0000,0.9972,3.4800,0.6400,9.2000,5
138,7.8000,0.5600,0.1900,2.1000,0.0810,15.0000,105.0000,0.9962,3.3300,0.5400,9.5000,5
139,7.8000,0.5600,0.1900,2.0000,0.0810,17.0000,108.0000,0.9962,3.3200,0.5400,9.5000,5
140,8.4000,0.7450,0.1100,1.9000,0.0900,16.0000,63.0000,0.9965,3.1900,0.8200,9.6000,5
141,8.3000,0.7150,0.1500,1.8000,0.0890,10.0000,52.0000,0.9968,3.2300,0.7700,9.5000,5
142,5.2000,0.3400,0.0000,1.8000,0.0500,27.0000,63.0000,0.9916,3.6800,0.7900,14.0000,6
143,6.3000,0.3900,0.0800,1.7000,0.0660,3.0000,20.0000,0.9954,3.3400,0.5800,9.4000,5
144,5.2000,0.3400,0.0000,1.8000,0.0500,27.0000,63.0000,0.9916,3.6800,0.7900,14.0000,6
145,8.1000,0.6700,0.5500,1.8000,0.1170,32.0000,141.0000,0.9968,3.1700,0.6200,9.4000,5
146,5.8000,0.6800,0.0200,1.8000,0.0870,21.0000,94.0000,0.9944,3.5400,0.5200,10.0000,5
147,7.6000,0.4900,0.2600,1.6000,0.2360,10.0000,88.0000,0.9968,3.1100,0.8000,9.3000,5
148,6.9000,0.4900,0.1000,2.3000,0.0740,12.0000,30.0000,0.9959,3.4200,0.5800,10.2000,6
149,8.2000,0.4000,0.4400,2.8000,0.0890,11.0000,43.0000,0.9975,3.5300,0.6100,10.5000,6
150,7.3000,0.3300,0.4700,2.1000,0.0770,5.0000,11.0000,0.9958,3.3300,0.5300,10.3000,6
151,9.2000,0.5200,1.0000,3.4000,0.6100,32.0000,69.0000,0.9996,2.7400,2.0000,9.4000,4
152,7.5000,0.6000,0.0300,1.8000,0.0950,25.0000,99.0000,0.9950,3.3500,0.5400,10.1000,5
153,7.5000,0.6000,0.0300,1.8000,0.0950,25.0000,99.0000,0.9950,3.3500,0.5400,10.1000,5
154,7.1000,0.4300,0.4200,5.5000,0.0700,29.0000,129.0000,0.9973,3.4200,0.7200,10.5000,5
155,7.1000,0.4300,0.4200,5.5000,0.0710,28.0000,128.0000,0.9973,3.4200,0.7100,10.5000,5
156,7.1000,0.4300,0.4200,5.5000,0.0700,29.0000,129.0000,0.9973,3.4200,0.7200,10.5000,5
157,7.1000,0.4300,0.4200,5.5000,0.0710,28.0000,128.0000,0.9973,3.4200,0.7100,10.5000,5
158,7.1000,0.6800,0.0000,2.2000,0.0730,12.0000,22.0000,0.9969,3.4800,0.5000,9.3000,5
159,6.8000,0.6000,0.1800,1.9000,0.0790,18.0000,86.0000,0.9968,3.5900,0.5700,9.3000,6
160,7.6000,0.9500,0.0300,2.0000,0.0900,7.0000,20.0000,0.9959,3.2000,0.5600,9.6000,5
161,7.6000,0.6800,0.0200,1.3000,0.0720,9.0000,20.0000,0.9965,3.1700,1.0800,9.2000,4
162,7.8000,0.5300,0.0400,1.7000,0.0760,17.0000,31.0000,0.9964,3.3300,0.5600,10.0000,6
163,7.4000,0.6000,0.2600,7.3000,0.0700,36.0000,121.0000,0.9982,3.3700,0.4900,9.4000,5
164,7.3000,0.5900,0.2600,7.2000,0.0700,35.0000,121.0000,0.9981,3.3700,0.4900,9.4000,5
165,7.8000,0.6300,0.4800,1.7000,0.1000,14.0000,96.0000,0.9961,3.1900,0.6200,9.5000,5
166,6.8000,0.6400,0.1000,2.1000,0.0850,18.0000,101.0000,0.9956,3.3400,0.5200,10.2000,5
167,7.3000,0.5500,0.0300,1.6000,0.0720,17.0000,42.0000,0.9956,3.3700,0.4800,9.0000,4
168,6.8000,0.6300,0.0700,2.1000,0.0890,11.0000,44.0000,0.9953,3.4700,0.5500,10.4000,6
169,7.5000,0.7050,0.2400,1.8000,0.3600,15.0000,63.0000,0.9964,3.0000,1.5900,9.5000,5
170,7.9000,0.8850,0.0300,1.8000,0.0580,4.0000,8.0000,0.9972,3.3600,0.3300,9.1000,4
171,8.0000,0.4200,0.1700,2.0000,0.0730,6.0000,18.0000,0.9972,3.2900,0.6100,9.2000,6
172,8.0000,0.4200,0.1700,2.0000,0.0730,6.0000,18.0000,0.9972,3.2900,0.6100,9.2000,6
173,7.4000,0.6200,0.0500,1.9000,0.0680,24.0000,42.0000,0.9961,3.4200,0.5700,11.5000,6
174,7.3000,0.3800,0.2100,2.0000,0.0800,7.0000,35.0000,0.9961,3.3300,0.4700,9.5000,5
175,6.9000,0.5000,0.0400,1.5000,0.0850,19.0000,49.0000,0.9958,3.3500,0.7800,9.5000,5
176,7.3000,0.3800,0.2100,2.0000,0.0800,7.0000,35.0000,0.9961,3.3300,0.4700,9.5000,5
177,7.5000,0.5200,0.4200,2.3000,0.0870,8.0000,38.0000,0.9972,3.5800,0.6100,10.5000,6
178,7.0000,0.8050,0.0000,2.5000,0.0680,7.0000,20.0000,0.9969,3.4800,0.5600,9.6000,5
179,8.8000,0.6100,0.1400,2.4000,0.0670,10.0000,42.0000,0.9969,3.1900,0.5900,9.5000,5
180,8.8000,0.6100,0.1400,2.4000,0.0670,10.0000,42.0000,0.9969,3.1900,0.5900,9.5000,5
181,8.9000,0.6100,0.4900,2.0000,0.2700,23.0000,110.0000,0.9972,3.1200,1.0200,9.3000,5
182,7.2000,0.7300,0.0200,2.5000,0.0760,16.0000,42.0000,0.9972,3.4400,0.5200,9.3000,5
183,6.8000,0.6100,0.2000,1.8000,0.0770,11.0000,65.0000,0.9971,3.5400,0.5800,9.3000,5
184,6.7000,0.6200,0.2100,1.9000,0.0790,8.0000,62.0000,0.9970,3.5200,0.5800,9.3000,6
185,8.9000,0.3100,0.5700,2.0000,0.1110,26.0000,85.0000,0.9971,3.2600,0.5300,9.7000,5
186,7.4000,0.3900,0.4800,2.0000,0.0820,14.0000,67.0000,0.9972,3.3400,0.5500,9.2000,5
187,7.7000,0.7050,0.1000,2.6000,0.0840,9.0000,26.0000,0.9976,3.3900,0.4900,9.7000,5
188,7.9000,0.5000,0.3300,2.0000,0.0840,15.0000,143.0000,0.9968,3.2000,0.5500,9.5000,5
189,7.9000,0.4900,0.3200,1.9000,0.0820,17.0000,144.0000,0.9968,3.2000,0.5500,9.5000,5
190,8.2000,0.5000,0.3500,2.9000,0.0770,21.0000,127.0000,0.9976,3.2300,0.6200,9.4000,5
191,6.4000,0.3700,0.2500,1.9000,0.0740,21.0000,49.0000,0.9974,3.5700,0.6200,9.8000,6
192,6.8000,0.6300,0.1200,3.8000,0.0990,16.0000,126.0000,0.9969,3.2800,0.6100,9.5000,5
193,7.6000,0.5500,0.2100,2.2000,0.0710,7.0000,28.0000,0.9964,3.2800,0.5500,9.7000,5
194,7.6000,0.5500,0.2100,2.2000,0.0710,7.0000,28.0000,0.9964,3.2800,0.5500,9.7000,5
195,7.8000,0.5900,0.3300,2.0000,0.0740,24.0000,120.0000,0.9968,3.2500,0.5400,9.4000,5
196,7.3000,0.5800,0.3000,2.4000,0.0740,15.0000,55.0000,0.9968,3.4600,0.5900,10.2000,5
197,11.5000,0.3000,0.6000,2.0000,0.0670,12.0000,27.0000,0.9981,3.1100,0.9700,10.1000,6
198,5.4000,0.8350,0.0800,1.2000,0.0460,13.0000,93.0000,0.9924,3.5700,0.8500,13.0000,7
199,6.9000,1.0900,0.0600,2.1000,0.0610,12.0000,31.0000,0.9948,3.5100,0.4300,11.4000,4
200,9.6000,0.3200,0.4700,1.4000,0.0560,9.0000,24.0000,0.9970,3.2200,0.8200,10.3000,7
201,8.8000,0.3700,0.4800,2.1000,0.0970,39.0000,145.0000,0.9975,3.0400,1.0300,9.3000,5
202,6.8000,0.5000,0.1100,1.5000,0.0750,16.0000,49.0000,0.9954,3.3600,0.7900,9.5000,5
203,7.0000,0.4200,0.3500,1.6000,0.0880,16.0000,39.0000,0.9961,3.3400,0.5500,9.2000,5
204,7.0000,0.4300,0.3600,1.6000,0.0890,14.0000,37.0000,0.9961,3.3400,0.5600,9.2000,6
205,12.8000,0.3000,0.7400,2.6000,0.0950,9.0000,28.0000,0.9994,3.2000,0.7700,10.8000,7
206,12.8000,0.3000,0.7400,2.6000,0.0950,9.0000,28.0000,0.9994,3.2000,0.7700,10.8000,7
207,7.8000,0.5700,0.3100,1.8000,0.0690,26.0000,120.0000,0.9962,3.2900,0.5300,9.3000,5
208,7.8000,0.4400,0.2800,2.7000,0.1000,18.0000,95.0000,0.9966,3.2200,0.6700,9.4000,5
209,11.0000,0.3000,0.5800,2.1000,0.0540,7.0000,19.0000,0.9980,3.3100,0.8800,10.5000,7
210,9.7000,0.5300,0.6000,2.0000,0.0390,5.0000,19.0000,0.9959,3.3000,0.8600,12.4000,6
211,8.0000,0.7250,0.2400,2.8000,0.0830,10.0000,62.0000,0.9969,3.3500,0.5600,10.0000,6
212,11.6000,0.4400,0.6400,2.1000,0.0590,5.0000,15.0000,0.9980,3.2100,0.6700,10.2000,6
213,8.2000,0.5700,0.2600,2.2000,0.0600,28.0000,65.0000,0.9959,3.3000,0.4300,10.1000,5
214,7.8000,0.7350,0.0800,2.4000,0.0920,10.0000,41.0000,0.9974,3.2400,0.7100,9.8000,6
215,7.0000,0.4900,0.4900,5.6000,0.0600,26.0000,121.0000,0.9974,3.3400,0.7600,10.5000,5
216,8.7000,0.6250,0.1600,2.0000,0.1010,13.0000,49.0000,0.9962,3.1400,0.5700,11.0000,5
217,8.1000,0.7250,0.2200,2.2000,0.0720,11.0000,41.0000,0.9967,3.3600,0.5500,9.1000,5
218,7.5000,0.4900,0.1900,1.9000,0.0760,10.0000,44.0000,0.9957,3.3900,0.5400,9.7000,5
219,7.8000,0.5300,0.3300,2.4000,0.0800,24.0000,144.0000,0.9966,3.3000,0.6000,9.5000,5
220,7.8000,0.3400,0.3700,2.0000,0.0820,24.0000,58.0000,0.9964,3.3400,0.5900,9.4000,6
221,7.4000,0.5300,0.2600,2.0000,0.1010,16.0000,72.0000,0.9957,3.1500,0.5700,9.4000,5
222,6.8000,0.6100,0.0400,1.5000,0.0570,5.0000,10.0000,0.9952,3.4200,0.6000,9.5000,5
223,8.6000,0.6450,0.2500,2.0000,0.0830,8.0000,28.0000,0.9981,3.2800,0.6000,10.0000,6
224,8.4000,0.6350,0.3600,2.0000,0.0890,15.0000,55.0000,0.9974,3.3100,0.5700,10.4000,4
225,7.7000,0.4300,0.2500,2.6000,0.0730,29.0000,63.0000,0.9961,3.3700,0.5800,10.5000,6
226,8.9000,0.5900,0.5000,2.0000,0.3370,27.0000,81.0000,0.9964,3.0400,1.6100,9.5000,6
227,9.0000,0.8200,0.1400,2.6000,0.0890,9.0000,23.0000,0.9984,3.3900,0.6300,9.8000,5
228,7.7000,0.4300,0.2500,2.6000,0.0730,29.0000,63.0000,0.9961,3.3700,0.5800,10.5000,6
229,6.9000,0.5200,0.2500,2.6000,0.0810,10.0000,37.0000,0.9969,3.4600,0.5000,11.0000,5
230,5.2000,0.4800,0.0400,1.6000,0.0540,19.0000,106.0000,0.9927,3.5400,0.6200,12.2000,7
231,8.0000,0.3800,0.0600,1.8000,0.0780,12.0000,49.0000,0.9962,3.3700,0.5200,9.9000,6
232,8.5000,0.3700,0.2000,2.8000,0.0900,18.0000,58.0000,0.9980,3.3400,0.7000,9.6000,6
233,6.9000,0.5200,0.2500,2.6000,0.0810,10.0000,37.0000,0.9969,3.4600,0.5000,11.0000,5
